,state,county,employed
1627, MT,Mineral County,1594
1628, MT,Missoula County,62544
1629, MT,Musselshell County,2120
1630, MT,Park County,8571
1631, MT,Petroleum County,279
1632, MT,Phillips County,1916
1633, MT,Pondera County,2622
1634, MT,Powder River County,921
1635, MT,Powell County,2810
1636, MT,Prairie County,477
1637, MT,Ravalli County,19410
1638, MT,Richland County,5626
1639, MT,Roosevelt County,4252
1640, MT,Rosebud County,3618
1641, MT,Sanders County,4521
1642, MT,Sheridan County,1672
1643, MT,Silver Bow County,16531
1644, MT,Stillwater County,4929
1645, MT,Sweet Grass County,1742
1646, MT,Teton County,2640
1647, MT,Toole County,2038
1648, MT,Treasure County,341
1649, MT,Valley County,3878
1650, MT,Wheatland County,783
1651, MT,Wibaux County,431
1652, MT,Yellowstone County,78654
1653, NE,Adams County,16062
1654, NE,Antelope County,3455
1655, NE,Arthur County,220
1656, NE,Banner County,374
1657, NE,Blaine County,253
1658, NE,Boone County,2931
1659, NE,Box Butte County,5177
1660, NE,Boyd County,1064
1661, NE,Brown County,1356
1662, NE,Buffalo County,27240
1663, NE,Burt County,3396
1664, NE,Butler County,4563
1665, NE,Cass County,13358
1666, NE,Cedar County,4485
1667, NE,Chase County,2265
1668, NE,Cherry County,3363
1669, NE,Cheyenne County,4200
1670, NE,Clay County,3182
1671, NE,Colfax County,5404
1672, NE,Cuming County,4616
1673, NE,Custer County,6387
1674, NE,Dakota County,10480
1675, NE,Dawes County,4792
1676, NE,Dawson County,12686
1677, NE,Deuel County,946
1678, NE,Dixon County,3016
1679, NE,Dodge County,19752
1680, NE,Douglas County,294887
1681, NE,Dundy County,1187
1682, NE,Fillmore County,3098
1683, NE,Franklin County,1440
1684, NE,Frontier County,1590
1685, NE,Furnas County,2535
1686, NE,Gage County,10537
1687, NE,Garden County,1114
1688, NE,Garfield County,1137
1689, NE,Gosper County,1103
1690, NE,Grant County,421
1691, NE,Greeley County,1213
1692, NE,Hall County,30707
1693, NE,Hamilton County,4621
1694, NE,Harlan County,1723
1695, NE,Hayes County,609
1696, NE,Hitchcock County,1228
1697, NE,Holt County,5678
1698, NE,Hooker County,367
1699, NE,Howard County,3252
1700, NE,Jefferson County,4099
1701, NE,Johnson County,1997
1702, NE,Kearney County,3720
1703, NE,Keith County,4436
1704, NE,Keya Paha County,605
1705, NE,Kimball County,1945
1706, NE,Knox County,4549
1707, NE,Lancaster County,173025
1708, NE,Lincoln County,17582
1709, NE,Logan County,478
1710, NE,Loup County,405
1711, NE,McPherson County,430
1712, NE,Madison County,19031
1713, NE,Merrick County,3987
1714, NE,Morrill County,2573
1715, NE,Nance County,1956
1716, NE,Nemaha County,3456
1717, NE,Nuckolls County,2365
1718, NE,Otoe County,8096
1719, NE,Pawnee County,1471
1720, NE,Perkins County,1798
1721, NE,Phelps County,4890
1722, NE,Pierce County,3990
1723, NE,Platte County,17079
1724, NE,Polk County,2908
1725, NE,Red Willow County,5707
1726, NE,Richardson County,4087
1727, NE,Rock County,873
1728, NE,Saline County,7187
1729, NE,Sarpy County,94747
1730, NE,Saunders County,11062
1731, NE,Scotts Bluff County,17574
1732, NE,Seward County,8766
1733, NE,Sheridan County,2639
1734, NE,Sherman County,1665
1735, NE,Sioux County,746
1736, NE,Stanton County,3422
1737, NE,Thayer County,2748
1738, NE,Thomas County,416
1739, NE,Thurston County,2921
1740, NE,Valley County,2078
1741, NE,Washington County,11301
1742, NE,Wayne County,5799
1743, NE,Webster County,1639
1744, NE,Wheeler County,609
1745, NE,York County,7104
1746, NV,Churchill County,10669
1747, NV,Clark County,1101095
1748, NV,Douglas County,22411
1749, NV,Elko County,26120
1750, NV,Esmeralda County,386
1751, NV,Eureka County,1032
1752, NV,Humboldt County,7955
1753, NV,Lander County,3096
1754, NV,Lincoln County,2021
1755, NV,Lyon County,22555
1756, NV,Mineral County,1910
1757, NV,Nye County,16718
1758, NV,Pershing County,2451
1759, NV,Storey County,2096
1760, NV,Washoe County,263080
1761, NV,White Pine County,4281
1762, NV,Carson City,25916
1763, NH,Belknap County,30416
1764, NH,Carroll County,22893
1765, NH,Cheshire County,40693
1766, NH,Coos County,14477
1767, NH,Grafton County,50107
1768, NH,Hillsborough County,237389
1769, NH,Merrimack County,82673
1770, NH,Rockingham County,184014
1771, NH,Strafford County,73309
1772, NH,Sullivan County,22823
1773, NJ,Atlantic County,116758
1774, NJ,Bergen County,478759
1775, NJ,Burlington County,226262
1776, NJ,Camden County,246504
1777, NJ,Cape May County,40678
1778, NJ,Cumberland County,63440
1779, NJ,Essex County,360648
1780, NJ,Gloucester County,145732
1781, NJ,Hudson County,361202
1782, NJ,Hunterdon County,63552
1783, NJ,Mercer County,200165
1784, NJ,Middlesex County,434945
1785, NJ,Monmouth County,322775
1786, NJ,Morris County,255393
1787, NJ,Ocean County,264976
1788, NJ,Passaic County,238465
1789, NJ,Salem County,28639
1790, NJ,Somerset County,170452
1791, NJ,Sussex County,72678
1792, NJ,Union County,272402
1793, NJ,Warren County,55730
1794, NM,Bernalillo County,324756
1795, NM,Catron County,1065
1796, NM,Chaves County,26281
1797, NM,Cibola County,8592
1798, NM,Colfax County,5086
1799, NM,Curry County,21267
1800, NM,De Baca County,778
1801, NM,Dona Ana County,94907
1802, NM,Eddy County,35265
1803, NM,Grant County,12070
1804, NM,Guadalupe County,1477
1805, NM,Harding County,268
1806, NM,Hidalgo County,1943
1807, NM,Lea County,31509
1808, NM,Lincoln County,8579
1809, NM,Los Alamos County,9294
1810, NM,Luna County,8443
1811, NM,McKinley County,23068
1812, NM,Mora County,2118
1813, NM,Otero County,24150
1814, NM,Quay County,3125
1815, NM,Rio Arriba County,16008
1816, NM,Roosevelt County,7553
1817, NM,Sandoval County,63393
1818, NM,San Juan County,50538
1819, NM,San Miguel County,10151
1820, NM,Santa Fe County,72308
1821, NM,Sierra County,3708
1822, NM,Socorro County,6149
1823, NM,Taos County,14990
1824, NM,Torrance County,5453
1825, NM,Union County,1735
1826, NM,Valencia County,29416
1827, NY,Albany County,153118
1828, NY,Allegany County,18364
1829, NY,Bronx County,565319
1830, NY,Broome County,79431
1831, NY,Cattaraugus County,32464
1832, NY,Cayuga County,34018
1833, NY,Chautauqua County,51532
1834, NY,Chemung County,33345
1835, NY,Chenango County,21021
1836, NY,Clinton County,35115
1837, NY,Columbia County,30555
1838, NY,Cortland County,22011
1839, NY,Delaware County,18057
1840, NY,Dutchess County,138882
1841, NY,Erie County,421654
1842, NY,Essex County,16032
1843, NY,Franklin County,18585
1844, NY,Fulton County,21481
1845, NY,Genesee County,28365
1846, NY,Greene County,20149
1847, NY,Hamilton County,1968
1848, NY,Herkimer County,26340
1849, NY,Jefferson County,41496
1850, NY,Kings County,1146940
1851, NY,Lewis County,11060
1852, NY,Livingston County,29686
1853, NY,Madison County,31446
1854, NY,Monroe County,347778
1855, NY,Montgomery County,21381
1856, NY,Nassau County,681628
1857, NY,New York County,874847
1858, NY,Niagara County,93551
1859, NY,Oneida County,96026
1860, NY,Onondaga County,213668
1861, NY,Ontario County,53156
1862, NY,Orange County,174465
1863, NY,Orleans County,16911
1864, NY,Oswego County,50384
1865, NY,Otsego County,26360
1866, NY,Putnam County,49231
1867, NY,Queens County,1107673
1868, NY,Rensselaer County,78272
1869, NY,Richmond County,209282
1870, NY,Rockland County,148022
1871, NY,St. Lawrence County,41381
1872, NY,Saratoga County,114920
1873, NY,Schenectady County,73298
1874, NY,Schoharie County,14147
1875, NY,Schuyler County,7622
1876, NY,Seneca County,15408
1877, NY,Steuben County,40254
1878, NY,Suffolk County,747013
1879, NY,Sullivan County,35453
1880, NY,Tioga County,21529
1881, NY,Tompkins County,50397
1882, NY,Ulster County,85360
1883, NY,Warren County,29114
1884, NY,Washington County,26191
1885, NY,Wayne County,42351
1886, NY,Westchester County,462480
1887, NY,Wyoming County,17213
1888, NY,Yates County,11498
1889, NC,Alamance County,79285
1890, NC,Alexander County,17641
1891, NC,Alleghany County,4180
1892, NC,Anson County,10137
1893, NC,Ashe County,12567
1894, NC,Avery County,6845
1895, NC,Beaufort County,18902
1896, NC,Bertie County,7503
1897, NC,Bladen County,14270
1898, NC,Brunswick County,51264
1899, NC,Buncombe County,141356
1900, NC,Burke County,39533
1901, NC,Cabarrus County,106428
1902, NC,Caldwell County,35537
1903, NC,Camden County,4470
1904, NC,Carteret County,30277
1905, NC,Caswell County,9555
1906, NC,Catawba County,76626
1907, NC,Chatham County,34233
1908, NC,Cherokee County,10641
1909, NC,Chowan County,5450
1910, NC,Clay County,3938
1911, NC,Cleveland County,47231
1912, NC,Columbus County,21509
1913, NC,Craven County,40413
1914, NC,Cumberland County,123498
1915, NC,Currituck County,13241
1916, NC,Dare County,16987
1917, NC,Davidson County,79198
1918, NC,Davie County,20302
1919, NC,Duplin County,24904
1920, NC,Durham County,164315
1921, NC,Edgecombe County,20597
1922, NC,Forsyth County,183481
1923, NC,Franklin County,30384
1924, NC,Gaston County,109018
1925, NC,Gates County,5146
1926, NC,Graham County,2913
1927, NC,Granville County,29162
1928, NC,Greene County,9360
1929, NC,Guilford County,253761
1930, NC,Halifax County,19648
1931, NC,Harnett County,51569
1932, NC,Haywood County,29769
1933, NC,Henderson County,55164
1934, NC,Hertford County,8823
1935, NC,Hoke County,19295
1936, NC,Hyde County,1785
1937, NC,Iredell County,87865
1938, NC,Jackson County,18838
1939, NC,Johnston County,95832
1940, NC,Jones County,4310
1941, NC,Lee County,25197
1942, NC,Lenoir County,27465
1943, NC,Lincoln County,42717
1944, NC,McDowell County,19838
1945, NC,Macon County,15129
1946, NC,Madison County,10228
1947, NC,Martin County,8628
1948, NC,Mecklenburg County,609554
1949, NC,Mitchell County,5594
1950, NC,Montgomery County,11208
1951, NC,Moore County,41069
1952, NC,Nash County,41720
1953, NC,New Hanover County,121650
1954, NC,Northampton County,7500
1955, NC,Onslow County,62017
1956, NC,Orange County,76606
1957, NC,Pamlico County,5224
1958, NC,Pasquotank County,16152
1959, NC,Pender County,28380
1960, NC,Perquimans County,4831
1961, NC,Person County,17824
1962, NC,Pitt County,87587
1963, NC,Polk County,8844
1964, NC,Randolph County,65173
1965, NC,Richmond County,15889
1966, NC,Robeson County,48544
1967, NC,Rockingham County,39354
1968, NC,Rowan County,65502
1969, NC,Rutherford County,24165
1970, NC,Sampson County,29197
1971, NC,Scotland County,11009
1972, NC,Stanly County,31776
1973, NC,Stokes County,21565
1974, NC,Surry County,33156
1975, NC,Swain County,6119
1976, NC,Transylvania County,14145
1977, NC,Tyrrell County,1266
1978, NC,Union County,121409
1979, NC,Vance County,16706
1980, NC,Wake County,582979
1981, NC,Warren County,6315
1982, NC,Washington County,4146
1983, NC,Watauga County,28775
1984, NC,Wayne County,51107
1985, NC,Wilkes County,28252
1986, NC,Wilson County,32937
1987, NC,Yadkin County,17682
1988, NC,Yancey County,8295
1989, ND,Adams County,989
1990, ND,Barnes County,5132
1991, ND,Benson County,2063
1992, ND,Billings County,339
1993, ND,Bottineau County,2726
1994, ND,Bowman County,1531
1995, ND,Burke County,1037
1996, ND,Burleigh County,47726
1997, ND,Cass County,99079
1998, ND,Cavalier County,1818
1999, ND,Dickey County,2153
2000, ND,Divide County,1472
2001, ND,Dunn County,2870
2002, ND,Eddy County,1187
2003, ND,Emmons County,1335
2004, ND,Foster County,1510
2005, ND,Golden Valley County,845
2006, ND,Grand Forks County,36929
2007, ND,Grant County,1090
2008, ND,Griggs County,971
2009, ND,Hettinger County,1287
2010, ND,Kidder County,1212
2011, ND,LaMoure County,1995
2012, ND,Logan County,838
2013, ND,McHenry County,2994
2014, ND,McIntosh County,1077
2015, ND,McKenzie County,10201
2016, ND,McLean County,4437
2017, ND,Mercer County,3225
2018, ND,Morton County,15479
2019, ND,Mountrail County,7046
2020, ND,Nelson County,1305
2021, ND,Oliver County,815
2022, ND,Pembina County,3094
2023, ND,Pierce County,1677
2024, ND,Ramsey County,5082
2025, ND,Ransom County,2770
2026, ND,Renville County,1173
2027, ND,Richland County,8401
2028, ND,Rolette County,4172
2029, ND,Sargent County,2703
2030, ND,Sheridan County,631
2031, ND,Sioux County,1182
2032, ND,Slope County,349
2033, ND,Stark County,17419
2034, ND,Steele County,933
2035, ND,Stutsman County,9799
2036, ND,Towner County,1057
2037, ND,Traill County,4279
2038, ND,Walsh County,4935
2039, ND,Ward County,30424
2040, ND,Wells County,1828
2041, ND,Williams County,25393
2042, OH,Adams County,9908
2043, OH,Allen County,46427
2044, OH,Ashland County,25193
2045, OH,Ashtabula County,41873
2046, OH,Athens County,26730
2047, OH,Auglaize County,24175
2048, OH,Belmont County,29854
2049, OH,Brown County,19112
2050, OH,Butler County,192552
2051, OH,Carroll County,12537
2052, OH,Champaign County,19284
2053, OH,Clark County,61329
2054, OH,Clermont County,105259
2055, OH,Clinton County,17122
2056, OH,Columbiana County,44998
2057, OH,Coshocton County,13158
2058, OH,Crawford County,17427
2059, OH,Cuyahoga County,587552
2060, OH,Darke County,24639
2061, OH,Defiance County,17294
2062, OH,Delaware County,107296
2063, OH,Erie County,33529
2064, OH,Fairfield County,76497
2065, OH,Fayette County,13489
2066, OH,Franklin County,681227
2067, OH,Fulton County,21469
2068, OH,Gallia County,11357
2069, OH,Geauga County,47152
2070, OH,Greene County,80448
2071, OH,Guernsey County,17259
2072, OH,Hamilton County,411056
2073, OH,Hancock County,40152
2074, OH,Hardin County,13116
2075, OH,Harrison County,6303
2076, OH,Henry County,12530
2077, OH,Highland County,16058
2078, OH,Hocking County,12844
2079, OH,Holmes County,19970
2080, OH,Huron County,25728
2081, OH,Jackson County,11753
2082, OH,Jefferson County,25750
2083, OH,Knox County,30135
2084, OH,Lake County,121066
2085, OH,Lawrence County,22569
2086, OH,Licking County,88138
2087, OH,Logan County,21909
2088, OH,Lorain County,145894
2089, OH,Lucas County,200765
2090, OH,Madison County,20376
2091, OH,Mahoning County,96085
2092, OH,Marion County,27072
2093, OH,Medina County,93477
2094, OH,Meigs County,8273
2095, OH,Mercer County,22519
2096, OH,Miami County,52182
2097, OH,Monroe County,4886
2098, OH,Montgomery County,244542
2099, OH,Morgan County,6121
2100, OH,Morrow County,16457
2101, OH,Muskingum County,37727
2102, OH,Noble County,4287
2103, OH,Ottawa County,18729
2104, OH,Paulding County,8195
2105, OH,Perry County,15457
2106, OH,Pickaway County,25902
2107, OH,Pike County,9992
2108, OH,Portage County,83102
2109, OH,Preble County,20429
2110, OH,Putnam County,18110
2111, OH,Richland County,51108
2112, OH,Ross County,33937
2113, OH,Sandusky County,28743
2114, OH,Scioto County,27170
2115, OH,Seneca County,25913
2116, OH,Shelby County,23057
2117, OH,Stark County,179317
2118, OH,Summit County,259864
2119, OH,Trumbull County,81182
2120, OH,Tuscarawas County,42663
2121, OH,Union County,28128
2122, OH,Van Wert County,14453
2123, OH,Vinton County,5186
2124, OH,Warren County,116776
2125, OH,Washington County,25761
2126, OH,Wayne County,59887
2127, OH,Williams County,18273
2128, OH,Wood County,68378
2129, OH,Wyandot County,12530
2130, OK,Adair County,7663
2131, OK,Alfalfa County,2748
2132, OK,Atoka County,4742
2133, OK,Beaver County,2811
2134, OK,Beckham County,9506
2135, OK,Blaine County,4554
2136, OK,Bryan County,20786
2137, OK,Caddo County,11244
2138, OK,Canadian County,70057
2139, OK,Carter County,20797
2140, OK,Cherokee County,17728
2141, OK,Choctaw County,5104
2142, OK,Cimarron County,1266
2143, OK,Cleveland County,138293
2144, OK,Coal County,2332
2145, OK,Comanche County,46590
2146, OK,Cotton County,2618
2147, OK,Craig County,5648
2148, OK,Creek County,30068
2149, OK,Custer County,15351
2150, OK,Delaware County,17182
2151, OK,Dewey County,2799
2152, OK,Ellis County,2040
2153, OK,Garfield County,25630
2154, OK,Garvin County,12065
2155, OK,Grady County,25369
2156, OK,Grant County,2524
2157, OK,Greer County,1717
2158, OK,Harmon County,1112
2159, OK,Harper County,1670
2160, OK,Haskell County,3937
2161, OK,Hughes County,5051
2162, OK,Jackson County,10410
2163, OK,Jefferson County,2417
2164, OK,Johnston County,5034
2165, OK,Kay County,17460
2166, OK,Kingfisher County,8848
2167, OK,Kiowa County,3306
2168, OK,Latimer County,2910
2169, OK,Le Flore County,17885
2170, OK,Lincoln County,15298
2171, OK,Logan County,21240
2172, OK,Love County,5995
2173, OK,McClain County,18751
2174, OK,McCurtain County,13630
2175, OK,McIntosh County,6635
2176, OK,Major County,3690
2177, OK,Marshall County,6584
2178, OK,Mayes County,18691
2179, OK,Murray County,6097
2180, OK,Muskogee County,28740
2181, OK,Noble County,5475
2182, OK,Nowata County,4439
2183, OK,Okfuskee County,4330
2184, OK,Oklahoma County,371639
2185, OK,Okmulgee County,14946
2186, OK,Osage County,19722
2187, OK,Ottawa County,13539
2188, OK,Pawnee County,6990
2189, OK,Payne County,36654
2190, OK,Pittsburg County,16272
2191, OK,Pontotoc County,18803
2192, OK,Pottawatomie County,31363
2193, OK,Pushmataha County,3995
2194, OK,Roger Mills County,1756
2195, OK,Rogers County,42943
2196, OK,Seminole County,9060
2197, OK,Sequoyah County,15378
2198, OK,Stephens County,17602
2199, OK,Texas County,8543
2200, OK,Tillman County,2857
2201, OK,Tulsa County,308108
2202, OK,Wagoner County,35643
2203, OK,Washington County,21385
2204, OK,Washita County,4945
2205, OK,Woods County,4521
2206, OK,Woodward County,8544
2207, OR,Baker County,6533
2208, OR,Benton County,47623
2209, OR,Clackamas County,214219
2210, OR,Clatsop County,18048
2211, OR,Columbia County,23578
2212, OR,Coos County,25060
2213, OR,Crook County,9008
2214, OR,Curry County,8214
2215, OR,Deschutes County,93204
2216, OR,Douglas County,43819
2217, OR,Gilliam County,968
2218, OR,Grant County,2839
2219, OR,Harney County,3205
2220, OR,Hood River County,13474
2221, OR,Jackson County,101716
2222, OR,Jefferson County,9435
2223, OR,Josephine County,34369
2224, OR,Klamath County,26386
2225, OR,Lake County,3136
2226, OR,Lane County,174634
2227, OR,Lincoln County,19335
2228, OR,Linn County,56244
2229, OR,Malheur County,11702
2230, OR,Marion County,154272
2231, OR,Morrow County,5371
2232, OR,Multnomah County,448392
2233, OR,Polk County,38018
2234, OR,Sherman County,898
2235, OR,Tillamook County,11132
2236, OR,Umatilla County,34301
2237, OR,Union County,11252
2238, OR,Wallowa County,2999
2239, OR,Wasco County,11847
2240, OR,Washington County,317479
2241, OR,Wheeler County,651
2242, OR,Yamhill County,53039
2243, PA,Adams County,53164
2244, PA,Allegheny County,624133
2245, PA,Armstrong County,30793
2246, PA,Beaver County,80878
2247, PA,Bedford County,22633
2248, PA,Berks County,207479
2249, PA,Blair County,57392
2250, PA,Bradford County,27733
2251, PA,Bucks County,333730
2252, PA,Butler County,95512
2253, PA,Cambria County,56060
2254, PA,Cameron County,1927
2255, PA,Carbon County,30501
2256, PA,Centre County,80116
2257, PA,Chester County,276982
2258, PA,Clarion County,16596
2259, PA,Clearfield County,34437
2260, PA,Clinton County,17759
2261, PA,Columbia County,32072
2262, PA,Crawford County,37349
2263, PA,Cumberland County,127093
2264, PA,Dauphin County,137858
2265, PA,Delaware County,290760
2266, PA,Elk County,14714
2267, PA,Erie County,123763
2268, PA,Fayette County,54204
2269, PA,Forest County,1681
2270, PA,Franklin County,77138
2271, PA,Fulton County,7760
2272, PA,Greene County,15853
2273, PA,Huntingdon County,18862
2274, PA,Indiana County,37484
2275, PA,Jefferson County,19607
2276, PA,Juniata County,12095
2277, PA,Lackawanna County,100656
2278, PA,Lancaster County,273773
2279, PA,Lawrence County,38759
2280, PA,Lebanon County,70074
2281, PA,Lehigh County,184896
2282, PA,Luzerne County,149500
2283, PA,Lycoming County,54357
2284, PA,McKean County,17175
2285, PA,Mercer County,46774
2286, PA,Mifflin County,20115
2287, PA,Monroe County,79149
2288, PA,Montgomery County,441064
2289, PA,Montour County,8778
2290, PA,Northampton County,154793
2291, PA,Northumberland County,40119
2292, PA,Perry County,23597
2293, PA,Philadelphia County/city,692647
2294, PA,Pike County,23751
2295, PA,Potter County,6914
2296, PA,Schuylkill County,63337
2297, PA,Snyder County,19437
2298, PA,Somerset County,32146
2299, PA,Sullivan County,2619
2300, PA,Susquehanna County,19779
2301, PA,Tioga County,18191
2302, PA,Union County,19080
2303, PA,Venango County,21100
2304, PA,Warren County,18215
2305, PA,Washington County,102261
2306, PA,Wayne County,21338
2307, PA,Westmoreland County,174036
2308, PA,Wyoming County,13164
2309, PA,York County,227087
2310, RI,Bristol County,25711
2311, RI,Kent County,88967
2312, RI,Newport County,43981
2313, RI,Providence County,317818
2314, RI,Washington County,67473
2315, SC,Abbeville County,10049
2316, SC,Aiken County,73420
2317, SC,Allendale County,2694
2318, SC,Anderson County,88954
2319, SC,Bamberg County,4819
2320, SC,Barnwell County,8267
2321, SC,Beaufort County,75678
2322, SC,Berkeley County,101203
2323, SC,Calhoun County,6534
2324, SC,Charleston County,207060
2325, SC,Cherokee County,25461
2326, SC,Chester County,13235
2327, SC,Chesterfield County,22095
2328, SC,Clarendon County,12457
2329, SC,Colleton County,16762
2330, SC,Darlington County,29633
2331, SC,Dillon County,12594
2332, SC,Dorchester County,75148
2333, SC,Edgefield County,10459
2334, SC,Fairfield County,9399
2335, SC,Florence County,65266
2336, SC,Georgetown County,25604
2337, SC,Greenville County,247793
2338, SC,Greenwood County,31040
2339, SC,Hampton County,8252
2340, SC,Horry County,143756
2341, SC,Jasper County,12268
2342, SC,Kershaw County,28556
2343, SC,Lancaster County,39762
2344, SC,Laurens County,29556
2345, SC,Lee County,6519
2346, SC,Lexington County,146400
2347, SC,McCormick County,3427
2348, SC,Marion County,12713
2349, SC,Marlboro County,9066
2350, SC,Newberry County,18739
2351, SC,Oconee County,35294
2352, SC,Orangeburg County,33775
2353, SC,Pickens County,55804
2354, SC,Richland County,194516
2355, SC,Saluda County,8758
2356, SC,Spartanburg County,149490
2357, SC,Sumter County,43265
2358, SC,Union County,11581
2359, SC,Williamsburg County,12142
2360, SC,York County,136182
2361, SD,Aurora County,1519
2362, SD,Beadle County,9352
2363, SD,Bennett County,1041
2364, SD,Bon Homme County,2785
2365, SD,Brookings County,18830
2366, SD,Brown County,20292
2367, SD,Brule County,2399
2368, SD,Buffalo County,647
2369, SD,Butte County,4874
2370, SD,Campbell County,750
2371, SD,Charles Mix County,3589
2372, SD,Clark County,1855
2373, SD,Clay County,7297
2374, SD,Codington County,15072
2375, SD,Corson County,1317
2376, SD,Custer County,3865
2377, SD,Davison County,10811
2378, SD,Day County,2612
2379, SD,Deuel County,2033
2380, SD,Dewey County,2067
2381, SD,Douglas County,1556
2382, SD,Edmunds County,2028
2383, SD,Fall River County,2783
2384, SD,Faulk County,1057
2385, SD,Grant County,4342
2386, SD,Gregory County,2066
2387, SD,Haakon County,1034
2388, SD,Hamlin County,3233
2389, SD,Hand County,1802
2390, SD,Hanson County,1703
2391, SD,Harding County,725
2392, SD,Hughes County,9774
2393, SD,Hutchinson County,3485
2394, SD,Hyde County,668
2395, SD,Jackson County,1198
2396, SD,Jerauld County,1075
2397, SD,Jones County,511
2398, SD,Kingsbury County,2622
2399, SD,Lake County,6488
2400, SD,Lawrence County,12762
2401, SD,Lincoln County,33803
2402, SD,Lyman County,1638
2403, SD,McCook County,3077
2404, SD,McPherson County,972
2405, SD,Marshall County,2296
2406, SD,Meade County,13653
2407, SD,Mellette County,719
2408, SD,Miner County,1156
2409, SD,Minnehaha County,111829
2410, SD,Moody County,3937
2411, SD,Oglala Lakota County,3220
2412, SD,Pennington County,54672
2413, SD,Perkins County,1404
2414, SD,Potter County,1018
2415, SD,Roberts County,4609
2416, SD,Sanborn County,1125
2417, SD,Spink County,3104
2418, SD,Stanley County,1794
2419, SD,Sully County,792
2420, SD,Todd County,2994
2421, SD,Tripp County,3039
2422, SD,Turner County,4663
2423, SD,Union County,8021
2424, SD,Walworth County,1984
2425, SD,Yankton County,11657
2426, SD,Ziebach County,904
