,zipcode,tot_income,state,population,city,county
4904,32003,1143458,FL,29247,FLEMING ISLAND,Clay
4905,32008,90021,FL,5144,BRANFORD,Gilchrist
4906,32008,90021,FL,5144,BRANFORD,Lafayette
4907,32008,90021,FL,5144,BRANFORD,Suwannee
4908,32009,82188,FL,3481,BRYCEVILLE,Nassau
4909,32011,373566,FL,14142,CALLAHAN,Nassau
4910,32024,378188,FL,19442,LAKE CITY,Columbia
4911,32024,378188,FL,19442,LAKE CITY,Suwannee
4912,32025,318611,FL,22914,LAKE CITY,Columbia
4913,32033,123240,FL,4587,ELKTON,St. Johns
4914,32034,1786944,FL,33189,FERNANDINA BEACH,Nassau
4915,32038,164378,FL,9264,FORT WHITE,Columbia
4916,32040,169202,FL,7214,GLEN SAINT MARY,Baker
4917,32043,1019886,FL,24908,GREEN COVE SPRINGS,Clay
4918,32043,1019886,FL,24908,GREEN COVE SPRINGS,Putnam
4919,32044,28784,FL,2004,HAMPTON,Bradford
4920,32046,196378,FL,9345,HILLIARD,Nassau
4921,32052,92260,FL,9575,JASPER,Hamilton
4922,32053,54361,FL,3341,JENNINGS,Hamilton
4923,32054,185008,FL,11669,LAKE BUTLER,Bradford
4924,32054,185008,FL,11669,LAKE BUTLER,Union
4925,32055,270937,FL,16770,LAKE CITY,Columbia
4926,32058,63064,FL,4514,LAWTEY,Bradford
4927,32058,63064,FL,4514,LAWTEY,Clay
4928,32059,44980,FL,2622,LEE,Madison
4929,32060,332234,FL,22974,LIVE OAK,Suwannee
4930,32061,5645,FL,403,LULU,Columbia
4931,32062,44473,FL,2558,MC ALPIN,Suwannee
4932,32063,264349,FL,14051,MACCLENNY,Baker
4933,32064,123696,FL,6860,LIVE OAK,Suwannee
4934,32065,924397,FL,37862,ORANGE PARK,Clay
4935,32066,83626,FL,7532,MAYO,Lafayette
4936,32068,1194774,FL,52300,MIDDLEBURG,Clay
4937,32071,59023,FL,3579,O BRIEN,Suwannee
4938,32073,1060898,FL,39378,ORANGE PARK,Clay
4939,32073,1060898,FL,39378,ORANGE PARK,Duval
4940,32079,20025,FL,369,PENNEY FARMS,Clay
4941,32080,1065819,FL,21976,SAINT AUGUSTINE,Flagler
4942,32080,1065819,FL,21976,SAINT AUGUSTINE,St. Johns
4943,32081,898951,FL,9836,PONTE VEDRA,St. Johns
4944,32082,3237562,FL,30516,PONTE VEDRA BEACH,Duval
4945,32082,3237562,FL,30516,PONTE VEDRA BEACH,St. Johns
4946,32083,24955,FL,3559,RAIFORD,Union
4947,32084,875460,FL,33844,SAINT AUGUSTINE,St. Johns
4948,32086,792157,FL,27265,SAINT AUGUSTINE,St. Johns
4949,32087,70055,FL,5767,SANDERSON,Baker
4950,32087,70055,FL,5767,SANDERSON,Columbia
4951,32091,265056,FL,14923,STARKE,Bradford
4952,32091,265056,FL,14923,STARKE,Clay
4953,32092,1377440,FL,31189,SAINT AUGUSTINE,St. Johns
4954,32094,51631,FL,2452,WELLBORN,Columbia
4955,32094,51631,FL,2452,WELLBORN,Suwannee
4956,32095,488653,FL,7887,SAINT AUGUSTINE,St. Johns
4957,32096,45509,FL,2073,WHITE SPRINGS,Columbia
4958,32096,45509,FL,2073,WHITE SPRINGS,Hamilton
4959,32096,45509,FL,2073,WHITE SPRINGS,Suwannee
4960,32097,540321,FL,16977,YULEE,Nassau
4961,32102,42524,FL,2188,ASTOR,Lake
4962,32102,42524,FL,2188,ASTOR,Volusia
4963,32110,125196,FL,7681,BUNNELL,Flagler
4964,32112,88937,FL,8493,CRESCENT CITY,Putnam
4965,32113,93766,FL,5266,CITRA,Marion
4966,32114,362546,FL,31385,DAYTONA BEACH,Volusia
4967,32117,379472,FL,24498,DAYTONA BEACH,Volusia
4968,32118,567358,FL,16820,DAYTONA BEACH,Volusia
4969,32119,444816,FL,22192,DAYTONA BEACH,Volusia
4970,32124,128489,FL,5452,DAYTONA BEACH,Volusia
4971,32127,937043,FL,30205,PORT ORANGE,Volusia
4972,32128,784711,FL,18147,PORT ORANGE,Volusia
4973,32129,446706,FL,20923,PORT ORANGE,Volusia
4974,32130,108376,FL,5520,DE LEON SPRINGS,Volusia
4975,32131,94635,FL,4723,EAST PALATKA,Putnam
4976,32132,158267,FL,7074,EDGEWATER,Volusia
4977,32134,111122,FL,7685,FORT MC COY,Lake
4978,32134,111122,FL,7685,FORT MC COY,Marion
4979,32134,111122,FL,7685,FORT MC COY,Putnam
4980,32136,295098,FL,7574,FLAGLER BEACH,Flagler
4981,32136,295098,FL,7574,FLAGLER BEACH,Volusia
4982,32137,1594208,FL,39910,PALM COAST,Flagler
4983,32139,16014,FL,1047,GEORGETOWN,Putnam
4984,32140,27676,FL,837,FLORAHOME,Clay
4985,32140,27676,FL,837,FLORAHOME,Putnam
4986,32141,369982,FL,18226,EDGEWATER,Volusia
4987,32145,88386,FL,5733,HASTINGS,Flagler
4988,32145,88386,FL,5733,HASTINGS,Putnam
4989,32145,88386,FL,5733,HASTINGS,St. Johns
4990,32147,26532,FL,517,HOLLISTER,Putnam
4991,32148,125640,FL,10715,INTERLACHEN,Putnam
4992,32159,751127,FL,30570,LADY LAKE,Lake
4993,32159,751127,FL,30570,LADY LAKE,Sumter
4994,32162,2663303,FL,54936,THE VILLAGES,Marion
4995,32162,2663303,FL,54936,THE VILLAGES,Sumter
4996,32164,906025,FL,45817,PALM COAST,Flagler
4997,32168,781927,FL,24902,NEW SMYRNA BEACH,Volusia
4998,32169,509514,FL,10694,NEW SMYRNA BEACH,Volusia
4999,32174,1662571,FL,49085,ORMOND BEACH,Flagler
5000,32174,1662571,FL,49085,ORMOND BEACH,Volusia
5001,32176,632629,FL,14730,ORMOND BEACH,Volusia
5002,32177,377345,FL,25628,PALATKA,Putnam
5003,32179,116623,FL,7410,OCKLAWAHA,Marion
5004,32180,64443,FL,4058,PIERSON,Volusia
5005,32181,32492,FL,2222,POMONA PARK,Putnam
5006,32187,35274,FL,1641,SAN MATEO,Putnam
5007,32189,74358,FL,6035,SATSUMA,Putnam
5008,32190,17371,FL,1163,SEVILLE,Volusia
5009,32193,22788,FL,1034,WELAKA,Putnam
5010,32195,75405,FL,3437,WEIRSDALE,Lake
5011,32195,75405,FL,3437,WEIRSDALE,Marion
5012,32202,150417,FL,6078,JACKSONVILLE,Duval
5013,32204,240163,FL,7281,JACKSONVILLE,Duval
5014,32205,785178,FL,28913,JACKSONVILLE,Duval
5015,32206,205359,FL,16820,JACKSONVILLE,Duval
5016,32207,1147911,FL,34770,JACKSONVILLE,Duval
5017,32208,407374,FL,30640,JACKSONVILLE,Duval
5018,32209,333046,FL,34192,JACKSONVILLE,Duval
5019,32210,1525702,FL,61973,JACKSONVILLE,Duval
5020,32211,527249,FL,34434,JACKSONVILLE,Duval
5021,32212,23748,FL,2702,JACKSONVILLE,Duval
5022,32216,879218,FL,38358,JACKSONVILLE,Duval
5023,32217,699013,FL,18938,JACKSONVILLE,Duval
5024,32218,1290049,FL,57754,JACKSONVILLE,Duval
5025,32219,240275,FL,11413,JACKSONVILLE,Duval
5026,32220,310041,FL,13884,JACKSONVILLE,Duval
5027,32221,653213,FL,30957,JACKSONVILLE,Duval
5028,32222,271021,FL,10014,JACKSONVILLE,Duval
5029,32223,1036581,FL,24424,JACKSONVILLE,Duval
5030,32224,1729425,FL,39113,JACKSONVILLE,Duval
5031,32225,1826760,FL,53545,JACKSONVILLE,Duval
5032,32226,593445,FL,16580,JACKSONVILLE,Duval
5033,32227,29091,FL,2518,JACKSONVILLE,Duval
5034,32228,3907,FL,394,JACKSONVILLE,Duval
5035,32233,915911,FL,24755,ATLANTIC BEACH,Duval
5036,32234,150742,FL,6100,JACKSONVILLE,Baker
5037,32234,150742,FL,6100,JACKSONVILLE,Clay
5038,32234,150742,FL,6100,JACKSONVILLE,Duval
5039,32234,150742,FL,6100,JACKSONVILLE,Nassau
5040,32244,1127193,FL,60694,JACKSONVILLE,Duval
5041,32246,1255380,FL,51598,JACKSONVILLE,Duval
5042,32250,1349428,FL,26235,JACKSONVILLE BEACH,Duval
5043,32250,1349428,FL,26235,JACKSONVILLE BEACH,St. Johns
5044,32254,150694,FL,13040,JACKSONVILLE,Duval
5045,32256,1735632,FL,42388,JACKSONVILLE,Duval
5046,32257,1142165,FL,37498,JACKSONVILLE,Duval
5047,32258,1107636,FL,28855,JACKSONVILLE,Duval
5048,32259,2220936,FL,45503,SAINT JOHNS,St. Johns
5049,32266,331858,FL,6817,NEPTUNE BEACH,Duval
5050,32277,616593,FL,28645,JACKSONVILLE,Duval
5051,32301,546900,FL,29860,TALLAHASSEE,Leon
5052,32303,1067145,FL,49584,TALLAHASSEE,Leon
5053,32304,261826,FL,46660,TALLAHASSEE,Leon
5054,32305,274367,FL,20547,TALLAHASSEE,Leon
5055,32308,858807,FL,23281,TALLAHASSEE,Leon
5056,32309,1275623,FL,31352,TALLAHASSEE,Jefferson
5057,32309,1275623,FL,31352,TALLAHASSEE,Leon
5058,32310,202810,FL,16827,TALLAHASSEE,Leon
5059,32311,644088,FL,19984,TALLAHASSEE,Leon
5060,32312,1721009,FL,31985,TALLAHASSEE,Leon
5061,32317,592193,FL,14669,TALLAHASSEE,Leon
5062,32320,56173,FL,3637,APALACHICOLA,Franklin
5063,32321,79652,FL,6083,BRISTOL,Liberty
5064,32322,66428,FL,4268,CARRABELLE,Franklin
5065,32324,66848,FL,4626,CHATTAHOOCHEE,Gadsden
5066,32327,557417,FL,27616,CRAWFORDVILLE,Leon
5067,32327,557417,FL,27616,CRAWFORDVILLE,Wakulla
5068,32328,110664,FL,3122,EASTPOINT,Franklin
5069,32330,13491,FL,592,GREENSBORO,Gadsden
5070,32331,64248,FL,4292,GREENVILLE,Jefferson
5071,32331,64248,FL,4292,GREENVILLE,Madison
5072,32331,64248,FL,4292,GREENVILLE,Taylor
5073,32332,20664,FL,1704,GRETNA,Gadsden
5074,32333,264559,FL,10526,HAVANA,Gadsden
5075,32333,264559,FL,10526,HAVANA,Leon
5076,32334,30632,FL,2202,HOSFORD,Liberty
5077,32336,27690,FL,1425,LAMONT,Jefferson
5078,32336,27690,FL,1425,LAMONT,Taylor
5079,32340,133980,FL,11042,MADISON,Madison
5080,32343,54547,FL,3256,MIDWAY,Gadsden
5081,32344,232483,FL,12574,MONTICELLO,Jefferson
5082,32346,48280,FL,1866,PANACEA,Franklin
5083,32346,48280,FL,1866,PANACEA,Wakulla
5084,32347,141260,FL,8047,PERRY,Taylor
5085,32348,172185,FL,12513,PERRY,Taylor
5086,32350,26074,FL,1259,PINETTA,Madison
5087,32351,228720,FL,19088,QUINCY,Gadsden
5088,32351,228720,FL,19088,QUINCY,Liberty
5089,32352,93771,FL,6361,QUINCY,Gadsden
5090,32355,11266,FL,237,SAINT MARKS,Wakulla
5091,32358,43357,FL,1978,SOPCHOPPY,Franklin
5092,32358,43357,FL,1978,SOPCHOPPY,Wakulla
5093,32359,32410,FL,1438,STEINHATCHEE,Dixie
5094,32359,32410,FL,1438,STEINHATCHEE,Taylor
5095,32361,8072,FL,154,WACISSA,Jefferson
5096,32401,442499,FL,23380,PANAMA CITY,Bay
5097,32403,50190,FL,3444,PANAMA CITY,Bay
5098,32404,799175,FL,38076,PANAMA CITY,Bay
5099,32405,710850,FL,32341,PANAMA CITY,Bay
5100,32407,342864,FL,10118,PANAMA CITY BEACH,Bay
5101,32408,560154,FL,16085,PANAMA CITY,Bay
5102,32409,223964,FL,10075,PANAMA CITY,Bay
5103,32410,13214,FL,987,MEXICO BEACH,Bay
5104,32413,480632,FL,14022,PANAMA CITY BEACH,Bay
5105,32413,480632,FL,14022,PANAMA CITY BEACH,Walton
5106,32420,39379,FL,1843,ALFORD,Jackson
5107,32420,39379,FL,1843,ALFORD,Washington
5108,32421,69725,FL,5251,ALTHA,Calhoun
5109,32423,20069,FL,974,BASCOM,Jackson
5110,32424,100296,FL,7304,BLOUNTSTOWN,Calhoun
5111,32425,190045,FL,14000,BONIFAY,Holmes
5112,32425,190045,FL,14000,BONIFAY,Washington
5113,32426,12394,FL,791,CAMPBELLTON,Jackson
5114,32427,14359,FL,1031,CARYVILLE,Washington
5115,32428,276464,FL,17019,CHIPLEY,Washington
5116,32430,21828,FL,1028,CLARKSVILLE,Calhoun
5117,32431,77543,FL,3816,COTTONDALE,Jackson
5118,32431,77543,FL,3816,COTTONDALE,Washington
5119,32433,233497,FL,16515,DEFUNIAK SPRINGS,Walton
5120,32435,129611,FL,7442,DEFUNIAK SPRINGS,Walton
5121,32437,10650,FL,1055,EBRO,Bay
5122,32437,10650,FL,1055,EBRO,Washington
5123,32438,49213,FL,4183,FOUNTAIN,Bay
5124,32438,49213,FL,4183,FOUNTAIN,Calhoun
5125,32439,257264,FL,8866,FREEPORT,Walton
5126,32440,103101,FL,7711,GRACEVILLE,Holmes
5127,32440,103101,FL,7711,GRACEVILLE,Jackson
5128,32442,67134,FL,3326,GRAND RIDGE,Jackson
5129,32443,48708,FL,2852,GREENWOOD,Jackson
5130,32444,652973,FL,20913,LYNN HAVEN,Bay
5131,32445,19250,FL,2744,MALONE,Jackson
5132,32446,202075,FL,11856,MARIANNA,Jackson
5133,32448,125192,FL,8720,MARIANNA,Calhoun
5134,32448,125192,FL,8720,MARIANNA,Jackson
5135,32449,7258,FL,591,WEWAHITCHKA,Calhoun
5136,32455,60240,FL,4747,PONCE DE LEON,Holmes
5137,32455,60240,FL,4747,PONCE DE LEON,Walton
5138,32456,222304,FL,7713,PORT SAINT JOE,Bay
5139,32456,222304,FL,7713,PORT SAINT JOE,Gulf
5140,32459,1371851,FL,14075,SANTA ROSA BEACH,Walton
5141,32460,70266,FL,5967,SNEADS,Jackson
5142,32461,325190,FL,21,ROSEMARY BEACH,Bay
5143,32462,55839,FL,3348,VERNON,Walton
5144,32462,55839,FL,3348,VERNON,Washington
5145,32463,5460,FL,188,WAUSAU,Washington
5146,32464,58064,FL,4320,WESTVILLE,Holmes
5147,32464,58064,FL,4320,WESTVILLE,Walton
5148,32465,98447,FL,8492,WEWAHITCHKA,Bay
5149,32465,98447,FL,8492,WEWAHITCHKA,Gulf
5150,32466,109600,FL,6198,YOUNGSTOWN,Bay
5151,32466,109600,FL,6198,YOUNGSTOWN,Washington
5152,32501,231235,FL,11571,PENSACOLA,Escambia
5153,32502,149467,FL,2786,PENSACOLA,Escambia
5154,32503,961894,FL,34645,PENSACOLA,Escambia
5155,32504,703359,FL,22940,PENSACOLA,Escambia
5156,32505,361774,FL,25715,PENSACOLA,Escambia
5157,32506,675531,FL,34865,PENSACOLA,Escambia
5158,32507,960516,FL,28928,PENSACOLA,Escambia
5159,32508,31595,FL,6717,PENSACOLA,Escambia
5160,32514,887899,FL,44610,PENSACOLA,Escambia
5161,32526,921908,FL,36905,PENSACOLA,Escambia
5162,32530,10802,FL,0,BAGDAD,Santa Rosa
5163,32531,140263,FL,5490,BAKER,Okaloosa
5164,32531,140263,FL,5490,BAKER,Santa Rosa
5165,32533,787140,FL,27419,CANTONMENT,Escambia
5166,32534,320172,FL,14937,PENSACOLA,Escambia
5167,32535,74787,FL,5504,CENTURY,Escambia
5168,32536,695939,FL,22316,CRESTVIEW,Okaloosa
5169,32539,538878,FL,27836,CRESTVIEW,Okaloosa
5170,32539,538878,FL,27836,CRESTVIEW,Walton
5171,32541,1038552,FL,17221,DESTIN,Okaloosa
5172,32542,48606,FL,3396,EGLIN AFB,Okaloosa
5173,32544,28355,FL,2140,HURLBURT FIELD,Okaloosa
5174,32547,793047,FL,34666,FORT WALTON BEACH,Okaloosa
5175,32548,574721,FL,20744,FORT WALTON BEACH,Okaloosa
5176,32550,672340,FL,7315,MIRAMAR BEACH,Walton
5177,32561,617974,FL,9208,GULF BREEZE,Escambia
5178,32561,617974,FL,9208,GULF BREEZE,Santa Rosa
5179,32563,884201,FL,24629,GULF BREEZE,Santa Rosa
5180,32564,57694,FL,2678,HOLT,Okaloosa
5181,32564,57694,FL,2678,HOLT,Santa Rosa
5182,32565,130103,FL,4868,JAY,Santa Rosa
5183,32566,1139893,FL,35952,NAVARRE,Santa Rosa
5184,32567,78952,FL,3330,LAUREL HILL,Okaloosa
5185,32567,78952,FL,3330,LAUREL HILL,Walton
5186,32568,67870,FL,2940,MC DAVID,Escambia
5187,32569,311246,FL,12068,MARY ESTHER,Okaloosa
5188,32570,650506,FL,29555,MILTON,Santa Rosa
5189,32571,969194,FL,32745,MILTON,Santa Rosa
5190,32577,134404,FL,4182,MOLINO,Escambia
5191,32578,1250675,FL,31957,NICEVILLE,Okaloosa
5192,32578,1250675,FL,31957,NICEVILLE,Walton
5193,32579,383384,FL,10332,SHALIMAR,Okaloosa
5194,32580,118141,FL,3976,VALPARAISO,Okaloosa
5195,32583,515014,FL,29614,MILTON,Santa Rosa
5196,32601,268350,FL,18819,GAINESVILLE,Alachua
5197,32603,50726,FL,7844,GAINESVILLE,Alachua
5198,32605,894455,FL,23327,GAINESVILLE,Alachua
5199,32606,826661,FL,24454,GAINESVILLE,Alachua
5200,32607,700817,FL,29744,GAINESVILLE,Alachua
5201,32608,1378583,FL,47160,GAINESVILLE,Alachua
5202,32609,267601,FL,17974,GAINESVILLE,Alachua
5203,32615,399814,FL,15061,ALACHUA,Alachua
5204,32617,77637,FL,4605,ANTHONY,Marion
5205,32618,148060,FL,7775,ARCHER,Alachua
5206,32618,148060,FL,7775,ARCHER,Levy
5207,32619,85167,FL,4520,BELL,Gilchrist
5208,32621,73290,FL,5755,BRONSON,Levy
5209,32622,30915,FL,1109,BROOKER,Alachua
5210,32622,30915,FL,1109,BROOKER,Bradford
5211,32625,37006,FL,1565,CEDAR KEY,Levy
5212,32626,110451,FL,8204,CHIEFLAND,Levy
5213,32628,58081,FL,5154,CROSS CITY,Dixie
5214,32631,16310,FL,454,EARLETON,Alachua
5215,32639,5036,FL,27,GULF HAMMOCK,Levy
5216,32640,178100,FL,10875,HAWTHORNE,Alachua
5217,32640,178100,FL,10875,HAWTHORNE,Putnam
5218,32641,164832,FL,13761,GAINESVILLE,Alachua
5219,32643,261272,FL,11073,HIGH SPRINGS,Alachua
5220,32643,261272,FL,11073,HIGH SPRINGS,Columbia
5221,32643,261272,FL,11073,HIGH SPRINGS,Gilchrist
5222,32648,5820,FL,371,HORSESHOE BEACH,Dixie
5223,32653,496998,FL,13870,GAINESVILLE,Alachua
5224,32656,269378,FL,14235,KEYSTONE HEIGHTS,Bradford
5225,32656,269378,FL,14235,KEYSTONE HEIGHTS,Clay
5226,32658,9186,FL,222,LA CROSSE,Alachua
5227,32664,15249,FL,588,MC INTOSH,Marion
5228,32666,143428,FL,6101,MELROSE,Alachua
5229,32666,143428,FL,6101,MELROSE,Bradford
5230,32666,143428,FL,6101,MELROSE,Clay
5231,32666,143428,FL,6101,MELROSE,Putnam
5232,32667,115722,FL,3446,MICANOPY,Alachua
5233,32667,115722,FL,3446,MICANOPY,Marion
5234,32668,101630,FL,4315,MORRISTON,Levy
5235,32668,101630,FL,4315,MORRISTON,Marion
5236,32669,482626,FL,11630,NEWBERRY,Alachua
5237,32669,482626,FL,11630,NEWBERRY,Gilchrist
5238,32680,115225,FL,9894,OLD TOWN,Dixie
5239,32681,8673,FL,76,ORANGE LAKE,Marion
5240,32686,149703,FL,5913,REDDICK,Marion
5241,32692,8203,FL,242,SUWANNEE,Dixie
5242,32693,189820,FL,12379,TRENTON,Gilchrist
5243,32693,189820,FL,12379,TRENTON,Levy
5244,32694,35625,FL,2335,WALDO,Alachua
5245,32696,232991,FL,11589,WILLISTON,Levy
5246,32696,232991,FL,11589,WILLISTON,Marion
5247,32697,5446,FL,425,WORTHINGTON SPRINGS,Union
5248,32701,542529,FL,22069,ALTAMONTE SPRINGS,Seminole
5249,32702,62520,FL,2758,ALTOONA,Lake
5250,32702,62520,FL,2758,ALTOONA,Marion
5251,32703,1013863,FL,49218,APOPKA,Orange
5252,32703,1013863,FL,49218,APOPKA,Seminole
5253,32707,831972,FL,35511,CASSELBERRY,Seminole
5254,32708,1543821,FL,44605,WINTER SPRINGS,Seminole
5255,32709,53009,FL,1989,CHRISTMAS,Orange
5256,32712,1287814,FL,44194,APOPKA,Orange
5257,32713,595774,FL,19903,DEBARY,Volusia
5258,32714,883617,FL,35011,ALTAMONTE SPRINGS,Seminole
5259,32720,655546,FL,30847,DELAND,Lake
5260,32720,655546,FL,30847,DELAND,Volusia
5261,32724,892504,FL,34228,DELAND,Volusia
5262,32725,875558,FL,47113,DELTONA,Volusia
5263,32726,417033,FL,21767,EUSTIS,Lake
5264,32730,107932,FL,4980,CASSELBERRY,Seminole
5265,32732,180248,FL,4827,GENEVA,Seminole
5266,32732,180248,FL,4827,GENEVA,Volusia
5267,32735,119407,FL,3979,GRAND ISLAND,Lake
5268,32736,318677,FL,9864,EUSTIS,Lake
5269,32738,807441,FL,44439,DELTONA,Volusia
5270,32744,76941,FL,3613,LAKE HELEN,Volusia
5271,32746,1878900,FL,41892,LAKE MARY,Seminole
5272,32750,669483,FL,23630,LONGWOOD,Seminole
5273,32751,1072075,FL,21387,MAITLAND,Orange
5274,32751,1072075,FL,21387,MAITLAND,Seminole
5275,32754,275161,FL,10388,MIMS,Brevard
5276,32754,275161,FL,10388,MIMS,Volusia
5277,32757,883912,FL,25705,MOUNT DORA,Lake
5278,32757,883912,FL,25705,MOUNT DORA,Orange
5279,32759,51604,FL,2769,OAK HILL,Volusia
