,zipcode,tot_income,state,population,city,county
5280,32763,422969,FL,22579,ORANGE CITY,Volusia
5281,32764,85355,FL,3281,OSTEEN,Volusia
5282,32765,1976226,FL,61426,OVIEDO,Seminole
5283,32766,652029,FL,16699,OVIEDO,Seminole
5284,32767,35269,FL,3062,PAISLEY,Lake
5285,32771,1444528,FL,51310,SANFORD,Seminole
5286,32773,547622,FL,30348,SANFORD,Seminole
5287,32776,345845,FL,12026,SORRENTO,Lake
5288,32776,345845,FL,12026,SORRENTO,Orange
5289,32778,504183,FL,20359,TAVARES,Lake
5290,32779,1616083,FL,30450,LONGWOOD,Seminole
5291,32780,894201,FL,34956,TITUSVILLE,Brevard
5292,32784,227913,FL,12247,UMATILLA,Lake
5293,32784,227913,FL,12247,UMATILLA,Marion
5294,32789,2063444,FL,25145,WINTER PARK,Orange
5295,32792,1204171,FL,51397,WINTER PARK,Orange
5296,32792,1204171,FL,51397,WINTER PARK,Seminole
5297,32796,439655,FL,21398,TITUSVILLE,Brevard
5298,32798,61164,FL,2475,ZELLWOOD,Orange
5299,32801,722004,FL,12235,ORLANDO,Orange
5300,32803,867290,FL,17529,ORLANDO,Orange
5301,32804,957424,FL,17721,ORLANDO,Orange
5302,32805,245071,FL,22104,ORLANDO,Orange
5303,32806,1064283,FL,26797,ORLANDO,Orange
5304,32807,517746,FL,31888,ORLANDO,Orange
5305,32808,606931,FL,51507,ORLANDO,Orange
5306,32809,565326,FL,27857,ORLANDO,Orange
5307,32810,609883,FL,36015,ORLANDO,Orange
5308,32811,521704,FL,39748,ORLANDO,Orange
5309,32812,885154,FL,36083,ORLANDO,Orange
5310,32814,589377,FL,7532,ORLANDO,Orange
5311,32817,759470,FL,35265,ORLANDO,Orange
5312,32818,714601,FL,51824,ORLANDO,Orange
5313,32819,1276598,FL,27620,ORLANDO,Orange
5314,32820,268861,FL,9422,ORLANDO,Orange
5315,32821,467778,FL,16870,ORLANDO,Orange
5316,32822,877271,FL,57441,ORLANDO,Orange
5317,32824,953998,FL,41857,ORLANDO,Orange
5318,32825,1265832,FL,58189,ORLANDO,Orange
5319,32826,399473,FL,35206,ORLANDO,Orange
5320,32827,704752,FL,8953,ORLANDO,Orange
5321,32828,1772778,FL,63788,ORLANDO,Orange
5322,32829,492822,FL,21156,ORLANDO,Orange
5323,32830,207326,FL,11,ORLANDO,Orange
5324,32832,860156,FL,21413,ORLANDO,Orange
5325,32833,255284,FL,9537,ORLANDO,Orange
5326,32835,1031484,FL,42960,ORLANDO,Orange
5327,32836,1142615,FL,17631,ORLANDO,Orange
5328,32837,1229763,FL,53657,ORLANDO,Orange
5329,32837,1229763,FL,53657,ORLANDO,Osceola
5330,32839,774113,FL,51706,ORLANDO,Orange
5331,32901,429523,FL,24946,MELBOURNE,Brevard
5332,32903,690923,FL,13697,INDIALANTIC,Brevard
5333,32904,909690,FL,29054,MELBOURNE,Brevard
5334,32905,418636,FL,23520,PALM BAY,Brevard
5335,32907,829465,FL,43141,PALM BAY,Brevard
5336,32908,227360,FL,11323,PALM BAY,Brevard
5337,32909,663970,FL,30380,PALM BAY,Brevard
5338,32920,315639,FL,10018,CAPE CANAVERAL,Brevard
5339,32922,213653,FL,16043,COCOA,Brevard
5340,32925,30347,FL,1457,PATRICK AFB,Brevard
5341,32926,498896,FL,22422,COCOA,Brevard
5342,32927,584271,FL,25168,COCOA,Brevard
5343,32931,619649,FL,14114,COCOA BEACH,Brevard
5344,32934,656699,FL,17952,MELBOURNE,Brevard
5345,32935,859462,FL,40438,MELBOURNE,Brevard
5346,32937,1202762,FL,26319,SATELLITE BEACH,Brevard
5347,32940,1755233,FL,36475,MELBOURNE,Brevard
5348,32948,100599,FL,7733,FELLSMERE,Indian River
5349,32949,91918,FL,2602,GRANT,Brevard
5350,32950,156590,FL,3977,MALABAR,Brevard
5351,32951,542512,FL,11326,MELBOURNE BEACH,Brevard
5352,32952,847441,FL,20302,MERRITT ISLAND,Brevard
5353,32953,757093,FL,23426,MERRITT ISLAND,Brevard
5354,32955,1249496,FL,38137,ROCKLEDGE,Brevard
5355,32958,684281,FL,26817,SEBASTIAN,Indian River
5356,32960,471653,FL,21046,VERO BEACH,Indian River
5357,32962,522008,FL,24468,VERO BEACH,Indian River
5358,32963,3103187,FL,14591,VERO BEACH,Indian River
5359,32963,3103187,FL,14591,VERO BEACH,St. Lucie
5360,32966,522606,FL,16262,VERO BEACH,Indian River
5361,32967,727303,FL,19942,VERO BEACH,Indian River
5362,32968,445308,FL,14225,VERO BEACH,Indian River
5363,32970,12416,FL,285,WABASSO,Indian River
5364,32976,159577,FL,8418,SEBASTIAN,Brevard
5365,33001,11151,FL,192,LONG KEY,Monroe
5366,33004,359369,FL,16526,DANIA,Broward
5367,33009,952069,FL,40835,HALLANDALE,Broward
5368,33010,560041,FL,47581,HIALEAH,Miami-Dade
5369,33012,1050214,FL,76384,HIALEAH,Miami-Dade
5370,33013,480522,FL,33430,HIALEAH,Miami-Dade
5371,33014,924519,FL,40187,HIALEAH,Miami-Dade
5372,33015,1248389,FL,68143,HIALEAH,Miami-Dade
5373,33016,945873,FL,50138,HIALEAH,Miami-Dade
5374,33018,1025313,FL,49283,HIALEAH,Broward
5375,33018,1025313,FL,49283,HIALEAH,Miami-Dade
5376,33019,913303,FL,14923,HOLLYWOOD,Broward
5377,33020,786430,FL,44188,HOLLYWOOD,Broward
5378,33021,1367422,FL,48301,HOLLYWOOD,Broward
5379,33023,1123274,FL,70910,HOLLYWOOD,Broward
5380,33023,1123274,FL,70910,HOLLYWOOD,Miami-Dade
5381,33024,1700106,FL,73034,HOLLYWOOD,Broward
5382,33025,1485970,FL,65059,HOLLYWOOD,Broward
5383,33026,983915,FL,30474,HOLLYWOOD,Broward
5384,33027,1854952,FL,60995,HOLLYWOOD,Broward
5385,33028,945737,FL,28537,PEMBROKE PINES,Broward
5386,33029,1655764,FL,46724,HOLLYWOOD,Broward
5387,33030,481966,FL,35279,HOMESTEAD,Miami-Dade
5388,33031,199514,FL,7087,HOMESTEAD,Miami-Dade
5389,33032,781253,FL,43281,HOMESTEAD,Miami-Dade
5390,33033,927748,FL,55956,HOMESTEAD,Miami-Dade
5391,33034,220208,FL,22315,HOMESTEAD,Miami-Dade
5392,33034,220208,FL,22315,HOMESTEAD,Monroe
5393,33035,275161,FL,17430,HOMESTEAD,Miami-Dade
5394,33036,313531,FL,3293,ISLAMORADA,Monroe
5395,33037,1260562,FL,11071,KEY LARGO,Monroe
5396,33040,1430838,FL,35357,KEY WEST,Monroe
5397,33042,305105,FL,6707,SUMMERLAND KEY,Monroe
5398,33043,160852,FL,4977,BIG PINE KEY,Monroe
5399,33050,397914,FL,9417,MARATHON,Monroe
5400,33051,60629,FL,696,KEY COLONY BEACH,Monroe
5401,33054,367533,FL,31180,OPA LOCKA,Miami-Dade
5402,33055,701436,FL,45974,OPA LOCKA,Miami-Dade
5403,33056,581193,FL,34751,MIAMI GARDENS,Miami-Dade
5404,33060,786104,FL,35593,POMPANO BEACH,Broward
5405,33062,1940511,FL,21464,POMPANO BEACH,Broward
5406,33063,1149874,FL,53732,POMPANO BEACH,Broward
5407,33064,1645040,FL,59265,POMPANO BEACH,Broward
5408,33065,1170677,FL,55860,POMPANO BEACH,Broward
5409,33066,425446,FL,17131,POMPANO BEACH,Broward
5410,33067,1448812,FL,28131,POMPANO BEACH,Broward
5411,33068,809997,FL,51465,POMPANO BEACH,Broward
5412,33069,595983,FL,27191,POMPANO BEACH,Broward
5413,33070,269229,FL,5433,TAVERNIER,Monroe
5414,33071,1342398,FL,38968,POMPANO BEACH,Broward
5415,33073,863820,FL,32019,POMPANO BEACH,Broward
5416,33076,2116388,FL,33068,POMPANO BEACH,Broward
5417,33109,444490,FL,636,MIAMI BEACH,Miami-Dade
5418,33122,54414,FL,151,MIAMI,Miami-Dade
5419,33125,686484,FL,58144,MIAMI,Miami-Dade
5420,33126,828878,FL,52835,MIAMI,Miami-Dade
5421,33127,324669,FL,31904,MIAMI,Miami-Dade
5422,33128,64143,FL,7367,MIAMI,Miami-Dade
5423,33129,665923,FL,12579,MIAMI,Miami-Dade
5424,33130,639962,FL,25503,MIAMI,Miami-Dade
5425,33131,1894002,FL,16041,MIAMI,Miami-Dade
5426,33132,571687,FL,11433,MIAMI,Miami-Dade
5427,33133,2202979,FL,34228,MIAMI,Miami-Dade
5428,33134,1892341,FL,41340,MIAMI,Miami-Dade
5429,33135,440104,FL,38867,MIAMI,Miami-Dade
5430,33136,187128,FL,13687,MIAMI,Miami-Dade
5431,33137,848906,FL,23520,MIAMI,Miami-Dade
5432,33138,1050149,FL,30195,MIAMI,Miami-Dade
5433,33139,3329199,FL,38027,MIAMI BEACH,Miami-Dade
5434,33140,2615854,FL,22222,MIAMI BEACH,Miami-Dade
5435,33141,1309460,FL,39738,MIAMI BEACH,Miami-Dade
5436,33142,584716,FL,54571,MIAMI,Miami-Dade
5437,33143,1851084,FL,32499,MIAMI,Miami-Dade
5438,33144,496760,FL,27856,MIAMI,Miami-Dade
5439,33145,702116,FL,32477,MIAMI,Miami-Dade
5440,33146,1032253,FL,15505,MIAMI,Miami-Dade
5441,33147,588048,FL,45676,MIAMI,Miami-Dade
5442,33149,1263956,FL,12935,KEY BISCAYNE,Miami-Dade
5443,33150,355927,FL,27588,MIAMI,Miami-Dade
5444,33154,1568554,FL,14666,MIAMI BEACH,Miami-Dade
5445,33155,1210626,FL,46602,MIAMI,Miami-Dade
5446,33156,2909720,FL,33030,MIAMI,Miami-Dade
5447,33157,1766610,FL,68396,MIAMI,Miami-Dade
5448,33158,475314,FL,6893,MIAMI,Miami-Dade
5449,33160,1944614,FL,39759,NORTH MIAMI BEACH,Broward
5450,33160,1944614,FL,39759,NORTH MIAMI BEACH,Miami-Dade
5451,33161,830950,FL,56385,MIAMI,Miami-Dade
5452,33162,689821,FL,47394,MIAMI,Miami-Dade
5453,33165,1215753,FL,56771,MIAMI,Miami-Dade
5454,33166,713343,FL,24328,MIAMI,Miami-Dade
5455,33167,288402,FL,20061,MIAMI,Miami-Dade
5456,33168,421164,FL,29291,MIAMI,Miami-Dade
5457,33169,745969,FL,41037,MIAMI,Miami-Dade
5458,33170,248346,FL,14535,MIAMI,Miami-Dade
5459,33172,771707,FL,41456,MIAMI,Miami-Dade
5460,33173,996720,FL,32696,MIAMI,Miami-Dade
5461,33174,544251,FL,32580,MIAMI,Miami-Dade
5462,33175,1300113,FL,54462,MIAMI,Miami-Dade
5463,33176,1906557,FL,50819,MIAMI,Miami-Dade
5464,33177,1031625,FL,57570,MIAMI,Miami-Dade
5465,33178,1298253,FL,47417,MIAMI,Miami-Dade
5466,33179,998469,FL,44451,MIAMI,Miami-Dade
5467,33180,1546395,FL,32365,MIAMI,Miami-Dade
5468,33181,524650,FL,18612,MIAMI,Miami-Dade
5469,33182,384662,FL,18393,MIAMI,Miami-Dade
5470,33183,831305,FL,38469,MIAMI,Miami-Dade
5471,33184,465357,FL,22071,MIAMI,Miami-Dade
5472,33185,767794,FL,30910,MIAMI,Miami-Dade
5473,33186,1796866,FL,70882,MIAMI,Miami-Dade
5474,33187,469490,FL,18837,MIAMI,Miami-Dade
5475,33189,516788,FL,26363,MIAMI,Miami-Dade
5476,33190,283733,FL,14980,MIAMI,Miami-Dade
5477,33193,952721,FL,50063,MIAMI,Miami-Dade
5478,33194,150374,FL,7340,MIAMI,Miami-Dade
5479,33196,1197771,FL,48092,MIAMI,Miami-Dade
5480,33301,2301549,FL,13565,FORT LAUDERDALE,Broward
5481,33304,1166561,FL,18852,FORT LAUDERDALE,Broward
5482,33305,851882,FL,12255,FORT LAUDERDALE,Broward
5483,33306,212224,FL,3267,FORT LAUDERDALE,Broward
5484,33308,2185445,FL,27661,FORT LAUDERDALE,Broward
5485,33309,786895,FL,37936,FORT LAUDERDALE,Broward
5486,33311,945347,FL,68664,FORT LAUDERDALE,Broward
5487,33312,1269675,FL,54714,FORT LAUDERDALE,Broward
5488,33313,817944,FL,61117,FORT LAUDERDALE,Broward
5489,33314,532364,FL,23768,FORT LAUDERDALE,Broward
5490,33315,424059,FL,13465,FORT LAUDERDALE,Broward
5491,33316,1234718,FL,10015,FORT LAUDERDALE,Broward
5492,33317,1067269,FL,36801,FORT LAUDERDALE,Broward
5493,33319,911571,FL,47191,FORT LAUDERDALE,Broward
5494,33321,1102146,FL,47039,FORT LAUDERDALE,Broward
5495,33322,1048369,FL,38996,FORT LAUDERDALE,Broward
5496,33323,850174,FL,19995,FORT LAUDERDALE,Broward
5497,33324,1689445,FL,46119,FORT LAUDERDALE,Broward
5498,33325,1123670,FL,29622,FORT LAUDERDALE,Broward
5499,33326,1219143,FL,33558,FORT LAUDERDALE,Broward
5500,33327,1137742,FL,23895,FORT LAUDERDALE,Broward
5501,33328,1220664,FL,29233,FORT LAUDERDALE,Broward
5502,33330,1026500,FL,14314,FORT LAUDERDALE,Broward
5503,33331,1199657,FL,24151,FORT LAUDERDALE,Broward
5504,33332,671946,FL,11350,FORT LAUDERDALE,Broward
5505,33334,789812,FL,30307,FORT LAUDERDALE,Broward
5506,33351,779108,FL,35386,FORT LAUDERDALE,Broward
5507,33401,1852787,FL,26501,WEST PALM BEACH,Palm Beach
5508,33403,259410,FL,12537,WEST PALM BEACH,Palm Beach
5509,33404,1088613,FL,28039,WEST PALM BEACH,Palm Beach
5510,33405,638786,FL,20972,WEST PALM BEACH,Palm Beach
5511,33406,553091,FL,25709,WEST PALM BEACH,Palm Beach
5512,33407,590904,FL,30311,WEST PALM BEACH,Palm Beach
5513,33408,1842012,FL,17652,NORTH PALM BEACH,Palm Beach
5514,33409,624342,FL,31318,WEST PALM BEACH,Palm Beach
5515,33410,2320052,FL,36019,PALM BEACH GARDENS,Palm Beach
5516,33411,2162803,FL,68557,WEST PALM BEACH,Palm Beach
5517,33412,813682,FL,13654,WEST PALM BEACH,Palm Beach
5518,33413,372657,FL,15865,WEST PALM BEACH,Palm Beach
5519,33414,2432535,FL,58530,WELLINGTON,Palm Beach
5520,33415,698065,FL,49938,WEST PALM BEACH,Palm Beach
5521,33417,520457,FL,31873,WEST PALM BEACH,Palm Beach
5522,33418,3351457,FL,37716,PALM BEACH GARDENS,Palm Beach
5523,33426,589282,FL,21739,BOYNTON BEACH,Palm Beach
5524,33428,1253622,FL,39853,BOCA RATON,Palm Beach
5525,33430,278140,FL,21843,BELLE GLADE,Palm Beach
5526,33431,1508180,FL,18535,BOCA RATON,Palm Beach
5527,33432,2498009,FL,20284,BOCA RATON,Broward
5528,33432,2498009,FL,20284,BOCA RATON,Palm Beach
5529,33433,1803421,FL,42445,BOCA RATON,Palm Beach
5530,33434,1046630,FL,20438,BOCA RATON,Palm Beach
5531,33435,1178326,FL,34304,BOYNTON BEACH,Palm Beach
5532,33436,1390128,FL,43911,BOYNTON BEACH,Palm Beach
5533,33437,1408558,FL,38644,BOYNTON BEACH,Palm Beach
5534,33438,15871,FL,384,CANAL POINT,Martin
5535,33438,15871,FL,384,CANAL POINT,Palm Beach
5536,33440,364720,FL,20048,CLEWISTON,Hendry
5537,33440,364720,FL,20048,CLEWISTON,Palm Beach
5538,33441,697652,FL,26959,DEERFIELD BEACH,Broward
5539,33442,742619,FL,29192,DEERFIELD BEACH,Broward
5540,33444,658486,FL,22980,DELRAY BEACH,Palm Beach
5541,33445,1049704,FL,31141,DELRAY BEACH,Palm Beach
5542,33446,1835404,FL,22881,DELRAY BEACH,Palm Beach
5543,33449,547370,FL,11843,LAKE WORTH,Palm Beach
5544,33455,1600839,FL,22804,HOBE SOUND,Martin
5545,33458,2661292,FL,53987,JUPITER,Martin
5546,33458,2661292,FL,53987,JUPITER,Palm Beach
5547,33460,540128,FL,31427,LAKE WORTH,Palm Beach
5548,33461,624808,FL,44102,LAKE WORTH,Palm Beach
5549,33462,1233771,FL,33183,LAKE WORTH,Palm Beach
5550,33463,1212852,FL,59303,LAKE WORTH,Palm Beach
5551,33467,1812564,FL,51099,LAKE WORTH,Palm Beach
5552,33469,1182355,FL,15429,JUPITER,Martin
5553,33469,1182355,FL,15429,JUPITER,Palm Beach
5554,33470,814326,FL,25888,LOXAHATCHEE,Palm Beach
5555,33471,77237,FL,7729,MOORE HAVEN,Glades
5556,33472,711022,FL,19540,BOYNTON BEACH,Palm Beach
5557,33473,671974,FL,9954,BOYNTON BEACH,Palm Beach
5558,33476,78367,FL,7897,PAHOKEE,Palm Beach
5559,33477,1936029,FL,13910,JUPITER,Palm Beach
5560,33478,668678,FL,12409,JUPITER,Martin
5561,33478,668678,FL,12409,JUPITER,Palm Beach
5562,33480,5589737,FL,9844,PALM BEACH,Palm Beach
5563,33483,2073730,FL,11566,DELRAY BEACH,Palm Beach
5564,33484,817387,FL,24651,DELRAY BEACH,Palm Beach
5565,33486,1035196,FL,24118,BOCA RATON,Palm Beach
5566,33487,1430802,FL,18336,BOCA RATON,Palm Beach
5567,33493,38570,FL,5395,SOUTH BAY,Palm Beach
5568,33496,2535643,FL,22210,BOCA RATON,Palm Beach
5569,33498,687899,FL,14105,BOCA RATON,Palm Beach
5570,33503,9995,FL,98,BALM,Hillsborough
5571,33510,654246,FL,27450,BRANDON,Hillsborough
5572,33511,1411533,FL,54641,BRANDON,Hillsborough
5573,33513,193723,FL,11936,BUSHNELL,Sumter
5574,33514,29775,FL,2224,CENTER HILL,Sumter
5575,33521,11267,FL,469,COLEMAN,Sumter
5576,33523,302399,FL,17736,DADE CITY,Hernando
5577,33523,302399,FL,17736,DADE CITY,Pasco
5578,33525,421794,FL,19163,DADE CITY,Pasco
5579,33527,359901,FL,15172,DOVER,Hillsborough
5580,33534,266107,FL,16205,GIBSONTON,Hillsborough
5581,33538,71809,FL,4651,LAKE PANASOFFKEE,Sumter
5582,33540,139334,FL,8741,ZEPHYRHILLS,Hillsborough
5583,33540,139334,FL,8741,ZEPHYRHILLS,Pasco
5584,33541,344180,FL,19374,ZEPHYRHILLS,Pasco
5585,33542,293441,FL,19826,ZEPHYRHILLS,Pasco
5586,33543,930476,FL,24117,WESLEY CHAPEL,Pasco
5587,33544,862384,FL,25477,WESLEY CHAPEL,Pasco
5588,33545,466122,FL,16967,WESLEY CHAPEL,Pasco
5589,33547,1098818,FL,24084,LITHIA,Hillsborough
5590,33547,1098818,FL,24084,LITHIA,Polk
5591,33548,381846,FL,6473,LUTZ,Hillsborough
5592,33548,381846,FL,6473,LUTZ,Pasco
5593,33549,558866,FL,16602,LUTZ,Hillsborough
5594,33549,558866,FL,16602,LUTZ,Pasco
5595,33556,1548715,FL,21932,ODESSA,Hillsborough
5596,33556,1548715,FL,21932,ODESSA,Pasco
5597,33558,1034919,FL,21405,LUTZ,Hillsborough
5598,33558,1034919,FL,21405,LUTZ,Pasco
5599,33559,402855,FL,17426,LUTZ,Hillsborough
5600,33559,402855,FL,17426,LUTZ,Pasco
5601,33563,458026,FL,26912,PLANT CITY,Hillsborough
5602,33565,393858,FL,17877,PLANT CITY,Hillsborough
5603,33566,533301,FL,20511,PLANT CITY,Hillsborough
5604,33567,224817,FL,12305,PLANT CITY,Hillsborough
5605,33569,710616,FL,25418,RIVERVIEW,Hillsborough
5606,33570,538817,FL,25698,RUSKIN,Hillsborough
5607,33570,538817,FL,25698,RUSKIN,Manatee
5608,33572,897954,FL,16168,APOLLO BEACH,Hillsborough
5609,33573,772324,FL,20836,SUN CITY CENTER,Hillsborough
5610,33576,167825,FL,3974,SAN ANTONIO,Pasco
5611,33578,1205843,FL,46431,RIVERVIEW,Hillsborough
5612,33579,826303,FL,30198,RIVERVIEW,Hillsborough
5613,33584,582384,FL,25104,SEFFNER,Hillsborough
5614,33585,26273,FL,1197,SUMTERVILLE,Sumter
5615,33592,275891,FL,10119,THONOTOSASSA,Hillsborough
5616,33594,898971,FL,35340,VALRICO,Hillsborough
5617,33596,1060397,FL,29386,VALRICO,Hillsborough
5618,33597,129965,FL,9076,WEBSTER,Hernando
5619,33597,129965,FL,9076,WEBSTER,Pasco
5620,33597,129965,FL,9076,WEBSTER,Sumter
5621,33598,442865,FL,14827,WIMAUMA,Hillsborough
5622,33598,442865,FL,14827,WIMAUMA,Manatee
5623,33602,1028145,FL,14151,TAMPA,Hillsborough
5624,33603,421593,FL,19710,TAMPA,Hillsborough
5625,33604,600134,FL,38460,TAMPA,Hillsborough
5626,33605,237888,FL,18319,TAMPA,Hillsborough
5627,33606,1365392,FL,18527,TAMPA,Hillsborough
5628,33607,625831,FL,25103,TAMPA,Hillsborough
5629,33609,1143116,FL,17187,TAMPA,Hillsborough
5630,33610,571340,FL,42342,TAMPA,Hillsborough
5631,33611,1336468,FL,32155,TAMPA,Hillsborough
5632,33612,650058,FL,45980,TAMPA,Hillsborough
5633,33613,862245,FL,33549,TAMPA,Hillsborough
5634,33614,779047,FL,47755,TAMPA,Hillsborough
5635,33615,1014934,FL,46297,TAMPA,Hillsborough
5636,33616,442273,FL,15006,TAMPA,Hillsborough
5637,33617,852104,FL,45466,TAMPA,Hillsborough
5638,33618,1086477,FL,26123,TAMPA,Hillsborough
